Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8256880733944955,0.6976744186046512,0.8333333333333334,0.759493670886076,0.9159056316590564
Linear SVM,0.8715596330275229,0.7619047619047619,0.8888888888888888,0.8205128205128205,N/A
Random Forest,0.908256880733945,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.9140030441400304
Decision Tree,0.8532110091743119,0.7941176470588235,0.75,0.7714285714285715,0.8833713850837138
